Year,Variable,Cantidad
2019,Plusvalía,910662302000
2019,Tasa de Plusvalía,132.2869137
2019,Tasa de ganancia,26.66530109
2019,Ciclos del capital,6.283882453
2019,Acumulación de capital,3.961013315
2019,Plustrabajo por trabajador,262.9965455
2018,Plusvalía,906428570000
2018,Tasa de Plusvalía,135.4643144
2018,Tasa de ganancia,27.05048573
2018,Ciclos del capital,6.362476118
2018,Acumulación de capital,3.726832014
2018,Plustrabajo por trabajador,270.443237
2017,Plusvalía,432973959000
2017,Tasa de Plusvalía,134.8422914
2017,Tasa de ganancia,27.049364
2017,Ciclos del capital,6.333467715
2017,Acumulación de capital,3.985044801
2017,Plustrabajo por trabajador,63.34795896
2016,Plusvalía,387822855000
2016,Tasa de Plusvalía,128.8921331
2016,Tasa de ganancia,26.14222719
2016,Ciclos del capital,6.219340312
2016,Acumulación de capital,3.930418981
2016,Plustrabajo por trabajador,55.25381154
2015,Plusvalía,394477086000
2015,Tasa de Plusvalía,138.1742417
2015,Tasa de ganancia,27.49419178
2015,Ciclos del capital,6.407321741
2015,Acumulación de capital,4.025579324
2015,Plustrabajo por trabajador,57.47646696
2014,Plusvalía,359911833000
2014,Tasa de Plusvalía,132.6406467
2014,Tasa de ganancia,25.64083663
2014,Ciclos del capital,6.499429824
2014,Acumulación de capital,4.173023357
2014,Plustrabajo por trabajador,53.66977784
2013,Plusvalía,326405635000
2013,Tasa de Plusvalía,122.8591458
2013,Tasa de ganancia,23.95751204
2013,Ciclos del capital,6.356801164
2013,Acumulación de capital,4.128209707
2013,Plustrabajo por trabajador,47.81843628
2012,Plusvalía,307826015000
2012,Tasa de Plusvalía,112.0970278
2012,Tasa de ganancia,22.01144846
2012,Ciclos del capital,6.213639578
2012,Acumulación de capital,4.0926693
2012,Plustrabajo por trabajador,43.0060977
2011,Plusvalía,346408599000
2011,Tasa de Plusvalía,119.19684
2011,Tasa de ganancia,24.25067172
2011,Ciclos del capital,6.107165859
2011,Acumulación de capital,3.915197459
2011,Plustrabajo por trabajador,45.86271815
2010,Plusvalía,363030093000
2010,Tasa de Plusvalía,124.8492366
2010,Tasa de ganancia,25.73024058
2010,Ciclos del capital,6.100729802
2010,Acumulación de capital,3.852237436
2010,Plustrabajo por trabajador,46.33435735
2009,Plusvalía,365529176000
2009,Tasa de Plusvalía,122.3608621
2009,Tasa de ganancia,26.4309562
2009,Ciclos del capital,5.853061342
2009,Acumulación de capital,3.629452721
2009,Plustrabajo por trabajador,44.32883786
2008,Plusvalía,409614941000
2008,Tasa de Plusvalía,128.3898547
2008,Tasa de ganancia,25.00698262
2008,Ciclos del capital,6.418058738
2008,Acumulación de capital,4.134160191
2008,Plustrabajo por trabajador,49.66987694
2007,Plusvalía,397895813000
2007,Tasa de Plusvalía,128.6940407
2007,Tasa de ganancia,23.04348963
2007,Ciclos del capital,6.871773381
2007,Acumulación de capital,4.584832974
2007,Plustrabajo por trabajador,0
2006,Plusvalía,336641259000
2006,Tasa de Plusvalía,118.7211267
2006,Tasa de ganancia,20.79590428
2006,Ciclos del capital,6.896081872
2006,Acumulación de capital,4.708870606
2006,Plustrabajo por trabajador,0
2005,Plusvalía,314539563000
2005,Tasa de Plusvalía,121.6161745
2005,Tasa de ganancia,21.54892713
2005,Ciclos del capital,6.859884691
2005,Acumulación de capital,4.643722946
2005,Plustrabajo por trabajador,0
2004,Plusvalía,294204392000
2004,Tasa de Plusvalía,125.5806672
2004,Tasa de ganancia,22.81334432
2004,Ciclos del capital,6.760508898
2004,Acumulación de capital,4.504702226
2004,Plustrabajo por trabajador,0
2003,Plusvalía,260500257000
2003,Tasa de Plusvalía,118.770787
2003,Tasa de ganancia,22.0896072
2003,Ciclos del capital,6.564480122
2003,Acumulación de capital,4.376772252
2003,Plustrabajo por trabajador,0
2002,Plusvalía,263161938000
2002,Tasa de Plusvalía,131.4226205
2002,Tasa de ganancia,24.49532593
2002,Ciclos del capital,6.679438363
2002,Acumulación de capital,4.365212158
2002,Plustrabajo por trabajador,0
